VILLAGE NAME,STATE
SIKKIM,SIKKIM
North  District,SIKKIM
Chungthang,SIKKIM
Lachen,SIKKIM
Lachung,SIKKIM
Shipgyer,SIKKIM
Tung,SIKKIM
Lachen Forest Block,SIKKIM
Thangu Forest Block,SIKKIM
Lachung Forest Block,SIKKIM
Tshungthang Forest Block,SIKKIM
Mangan,SIKKIM
Naga-Namgor,SIKKIM
Meyong,SIKKIM
Singchit,SIKKIM
Pakshep,SIKKIM
Kazor,SIKKIM
Sentam,SIKKIM
Salim Pakel,SIKKIM
Lingthem,SIKKIM
Lingdem,SIKKIM
Tingbong,SIKKIM
Lingzah-Tolung,SIKKIM
Sakyong-Pentong,SIKKIM
Lum,SIKKIM
Sangtok,SIKKIM
Gor,SIKKIM
Gnon-Samdong,SIKKIM
Hee-Gyathang,SIKKIM
Barfok,SIKKIM
Lingdong,SIKKIM
Zimchung,SIKKIM
Singhik,SIKKIM
Ringhim,SIKKIM
Nampatam,SIKKIM
Tingchim,SIKKIM
U. Mangshila,SIKKIM
L. Mangshila,SIKKIM
Namok,SIKKIM
Sheyam,SIKKIM
Tangyek,SIKKIM
Ramthamg,SIKKIM
Rongong,SIKKIM
Tumlong,SIKKIM
Phodong,SIKKIM
Chawang,SIKKIM
Phamtam,SIKKIM
Men-Rongong,SIKKIM
Paney-Phensong,SIKKIM
Labi,SIKKIM
Kabi,SIKKIM
Tingda,SIKKIM
Upper Dzongu Forest Block,SIKKIM
Lower Dzongu Forest Block,SIKKIM
Naga Forest Block,SIKKIM
Mangan Forest Block,SIKKIM
Phodong Forest Block,SIKKIM
Kabi Forest Block,SIKKIM
West District,SIKKIM
Gyalshing,SIKKIM
Dubdi,SIKKIM
Yuksam,SIKKIM
Gerethang,SIKKIM
Labing,SIKKIM
Tsozo,SIKKIM
Khachodpalri,SIKKIM
Tingle I,SIKKIM
Tingle II,SIKKIM
Meli,SIKKIM
Meliaching,SIKKIM
Singlitam,SIKKIM
Tingbrum,SIKKIM
Topung,SIKKIM
Singrangpung,SIKKIM
Nambu,SIKKIM
Darap,SIKKIM
Sindrang,SIKKIM
Singyang,SIKKIM
Naku,SIKKIM
Chongpung,SIKKIM
Pemayangtse Monastery,SIKKIM
Yangten,SIKKIM
Unglok,SIKKIM
Bhaluthang,SIKKIM
Chongrang,SIKKIM
Arithang,SIKKIM
Kongri,SIKKIM
Labdang,SIKKIM
Dhupidara,SIKKIM
Narkhola,SIKKIM
Mangnam,SIKKIM
Gangyep,SIKKIM
Laso,SIKKIM
Tashiding,SIKKIM
Umchung,SIKKIM
Kyonsda,SIKKIM
Yangthang,SIKKIM
Tikjya,SIKKIM
Lingchom,SIKKIM
Sardong,SIKKIM
Lungzik,SIKKIM
Sapong,SIKKIM
Bangten,SIKKIM
Srinagi,SIKKIM
Liching,SIKKIM
Gyaten,SIKKIM
Karmatar,SIKKIM
Sopakha,SIKKIM
Maneybung,SIKKIM
Begha,SIKKIM
Mangmo,SIKKIM
Dentam,SIKKIM
Sangkhu,SIKKIM
Radukhandu,SIKKIM
Hee,SIKKIM
Hee-Patal,SIKKIM
Pecherek,SIKKIM
Martam,SIKKIM
Barnyak,SIKKIM
Barthang,SIKKIM
Barphok,SIKKIM
Chingthang,SIKKIM
Mengyong,SIKKIM
Miyong,SIKKIM
Yuksam Forest Block,SIKKIM
Khachodpalri Forest Block,SIKKIM
Tashiding Forest Block,SIKKIM
Gyalshing Forest Block,SIKKIM
Pelling Forest Blocks,SIKKIM
Legship Forest Block,SIKKIM
Dentam Forest Block,SIKKIM
Bernyak Forest Block,SIKKIM
Soreng,SIKKIM
Tadong},SIKKIM
Rinchenpong,SIKKIM
Sangadorji,SIKKIM
Jeel,SIKKIM
Hathidunga,SIKKIM
Bum,SIKKIM
Rishi,SIKKIM
Bara-Samdong,SIKKIM
Sribadam,SIKKIM
Deythang,SIKKIM
Parrengaon,SIKKIM
Takuthang,SIKKIM
Chuchen,SIKKIM
Tinzerbong,SIKKIM
Suldung,SIKKIM
Kamling,SIKKIM
Mabong,SIKKIM
Segeng,SIKKIM
Samsing,SIKKIM
Geling,SIKKIM
Suntaley,SIKKIM
Khanisherbung,SIKKIM
Aroobotey,SIKKIM
Chota-Samdong,SIKKIM
Singling,SIKKIM
Karthok,SIKKIM
Burikhop(Dodok),SIKKIM
Burikhop(Rumbuk),SIKKIM
Rumbuk,SIKKIM
Bhareng,SIKKIM
Ribdi,SIKKIM
Okhery,SIKKIM
Tikpur,SIKKIM
Siktam,SIKKIM
Salyangdang,SIKKIM
Longchok,SIKKIM
Lower Fambong,SIKKIM
Dhalam(Daramden),SIKKIM
Upper Fambong,SIKKIM
Timberbong,SIKKIM
Tharpu,SIKKIM
Malbasey,SIKKIM
Mendo-Goan,SIKKIM
Chakung,SIKKIM
Chumbong,SIKKIM
Zoom,SIKKIM
Hilley Forest Block,SIKKIM
Sombaria Forest Block,SIKKIM
Soreng Forest Block,SIKKIM
Sribadam Forest Block,SIKKIM
Nayabazar Forest Block,SIKKIM
South District,SIKKIM
Namchi,SIKKIM
Omchu,SIKKIM
Chumlok,SIKKIM
Wak,SIKKIM
Chemchey,SIKKIM
Damthang,SIKKIM
Jaubari,SIKKIM
Tingrithang,SIKKIM
Mamley,SIKKIM
Pabong(Mamley),SIKKIM
Pajer,SIKKIM
Kamrang,SIKKIM
Tinzer,SIKKIM
Denchung,SIKKIM
Poklok (Polok),SIKKIM
Tinik,SIKKIM
Chisopani,SIKKIM
Salghari,SIKKIM
Dhargaon,SIKKIM
Dorop,SIKKIM
Gom,SIKKIM
Sorok,SIKKIM
Shyampani,SIKKIM
Sangbung,SIKKIM
Assangthang,SIKKIM
Kopchey,SIKKIM
Mikkhola,SIKKIM
Manpur,SIKKIM
Kitam,SIKKIM
Kartickey,SIKKIM
Sumbuk,SIKKIM
Suntaley (Sumbuk),SIKKIM
Rong,SIKKIM
Palum,SIKKIM
Singtam,SIKKIM
Bul,SIKKIM
Bomtar,SIKKIM
Singhithang,SIKKIM
Saleumbong,SIKKIM
Phalidara,SIKKIM
Maniram,SIKKIM
Kamarey,SIKKIM
Panchgharey,SIKKIM
Turuk,SIKKIM
Ramabong,SIKKIM
Kerabari,SIKKIM
Melli,SIKKIM
Mellidara,SIKKIM
Paiyong (Kerabari),SIKKIM
Suntaley (Sadam),SIKKIM
Sukrabarey,SIKKIM
Sadam,SIKKIM
Rabitar,SIKKIM
Rabikhola,SIKKIM
Tangji,SIKKIM
Bikmat,SIKKIM
Rateypani,SIKKIM
Passi,SIKKIM
Kateng-Bokrang,SIKKIM
Paleytam,SIKKIM
Nalam-Kolbong,SIKKIM
Nagi,SIKKIM
Maneydara,SIKKIM
Kabrey,SIKKIM
Karek,SIKKIM
Phong,SIKKIM
Chuba,SIKKIM
Parbing,SIKKIM
Rameng,SIKKIM
Nijarmeng,SIKKIM
Burul,SIKKIM
Thangsing,SIKKIM
Tokal,SIKKIM
Tokdey (Resep),SIKKIM
Gangchung,SIKKIM
Aifaltar,SIKKIM
Temi Tea Estate,SIKKIM
Temi,SIKKIM
Tarku,SIKKIM
Tanak,SIKKIM
Pabong (Gangchung),SIKKIM
Doring,SIKKIM
Rashyap,SIKKIM
Namphing,SIKKIM
Tsalumthang,SIKKIM
Turung,SIKKIM
Kanamtek,SIKKIM
Pamphok,SIKKIM
Donok,SIKKIM
Mamring,SIKKIM
Temi Forest Block,SIKKIM
Namchi Forest Block,SIKKIM
Majhitar Forest Block,SIKKIM
Jorethang Forest Block,SIKKIM
Melli Forest Block,SIKKIM
Namthang Forest Block,SIKKIM
Mamring Forest Block,SIKKIM
Ravong,SIKKIM
Sada,SIKKIM
Phamthang,SIKKIM
Brong,SIKKIM
Poley,SIKKIM
Namlung,SIKKIM
Ralong,SIKKIM
Ralong Monastery,SIKKIM
Zarung,SIKKIM
Barfung,SIKKIM
Bakkhim,SIKKIM
Kewzing,SIKKIM
Dalep,SIKKIM
Lingzo,SIKKIM
Likship,SIKKIM
Hingdam,SIKKIM
Lamting,SIKKIM
Mangbrue,SIKKIM
Tingmo,SIKKIM
Sanghanath,SIKKIM
Tinkitam,SIKKIM
Rayong,SIKKIM
Sangmo,SIKKIM
